service_id,first_date,last_date,active_days
E.308,2011-03-28,2011-06-03,38
G.308,2011-03-28,2011-06-03,48
C.309,2011-04-03,2011-05-29,7
U.309,2011-04-03,2011-05-29,9
p.309,2011-04-04,2011-06-02,35
7.309,2011-04-04,2011-06-03,44
A.309,2011-04-04,2011-06-03,44
e.309,2011-04-04,2011-06-03,43
E.309,2011-04-04,2011-06-03,34
G.309,2011-04-04,2011-06-03,43
W.309,2011-04-04,2011-06-03,44
P.309,2011-04-08,2011-06-03,9
8.309,2011-04-09,2011-06-04,9
B.309,2011-04-09,2011-06-04,7
S.309,2011-04-09,2011-06-04,9
q.308,2011-04-14,2011-04-14,1
q.309,2011-04-14,2011-04-14,1
l.309,2011-04-17,2011-04-17,1
l.310,2011-04-17,2011-04-17,1
C.310,2011-04-17,2011-05-29,5
U.310,2011-04-17,2011-05-29,7
p.310,2011-04-18,2011-06-02,27
7.310,2011-04-18,2011-06-03,34
A.310,2011-04-18,2011-06-03,34
e.310,2011-04-18,2011-06-03,34
E.310,2011-04-18,2011-06-03,27
G.310,2011-04-18,2011-06-03,33
W.310,2011-04-18,2011-06-03,34
P.310,2011-04-22,2011-06-03,7
b.309,2011-04-23,2011-04-23,1
b.310,2011-04-23,2011-04-23,1
J.308,2011-04-23,2011-04-23,1
J.309,2011-04-23,2011-04-23,1
J.310,2011-04-23,2011-04-23,1
8.310,2011-04-23,2011-06-04,7
S.310,2011-04-23,2011-06-04,7
c.309,2011-04-24,2011-04-24,1
c.310,2011-04-24,2011-04-24,1
T.308,2011-04-24,2011-04-24,1
T.309,2011-04-24,2011-04-24,1
T.310,2011-04-24,2011-04-24,1
o.309,2011-04-30,2011-05-21,2
o.310,2011-04-30,2011-05-21,2
B.310,2011-04-30,2011-06-04,5
I.311,2011-05-01,2011-05-01,1
C.311,2011-05-01,2011-05-29,4
U.311,2011-05-01,2011-05-29,5
Z.311,2011-05-02,2011-05-02,1
p.311,2011-05-02,2011-06-02,19
7.311,2011-05-02,2011-06-03,24
A.311,2011-05-02,2011-06-03,24
e.311,2011-05-02,2011-06-03,24
E.311,2011-05-02,2011-06-03,19
G.311,2011-05-02,2011-06-03,24
W.311,2011-05-02,2011-06-03,24
O.309,2011-05-06,2011-05-06,1
P.311,2011-05-06,2011-06-03,5
8.311,2011-05-07,2011-06-04,5
B.311,2011-05-07,2011-06-04,4
K.310,2011-05-07,2011-06-04,5
K.311,2011-05-07,2011-06-04,5
S.311,2011-05-07,2011-06-04,5
k.310,2011-05-08,2011-05-29,4
k.311,2011-05-08,2011-05-29,4
D.309,2011-05-14,2011-05-14,1
D.310,2011-05-14,2011-05-14,1
D.311,2011-05-14,2011-05-14,1
g.309,2011-05-15,2011-05-15,1
g.310,2011-05-15,2011-05-15,1
g.311,2011-05-15,2011-05-15,1
g.312,2011-05-15,2011-05-15,1
k.312,2011-05-15,2011-05-29,3
U.312,2011-05-15,2011-05-29,3
p.312,2011-05-16,2011-06-02,11
7.312,2011-05-16,2011-06-03,14
A.312,2011-05-16,2011-06-03,14
e.312,2011-05-16,2011-06-03,14
E.312,2011-05-16,2011-06-03,11
G.312,2011-05-16,2011-06-03,14
W.312,2011-05-16,2011-06-03,14
P.312,2011-05-20,2011-06-03,3
y.312,2011-05-21,2011-05-21,1
B.312,2011-05-21,2011-05-28,2
8.312,2011-05-21,2011-06-04,3
K.312,2011-05-21,2011-06-04,3
S.312,2011-05-21,2011-06-04,3
z.312,2011-05-22,2011-05-22,1
C.312,2011-05-22,2011-05-29,2
L.309,2011-05-29,2011-05-29,1
V.302,2011-05-29,2011-05-29,1
V.308,2011-05-29,2011-05-29,1
V.309,2011-05-29,2011-05-29,1
V.310,2011-05-29,2011-05-29,1
V.311,2011-05-29,2011-05-29,1
V.312,2011-05-29,2011-05-29,1
X.302,2011-05-30,2011-05-30,1
X.308,2011-05-30,2011-05-30,1
X.309,2011-05-30,2011-05-30,1
X.310,2011-05-30,2011-05-30,1
X.311,2011-05-30,2011-05-30,1
X.312,2011-05-30,2011-05-30,1
t.310,2011-05-31,2011-06-03,4
t.311,2011-05-31,2011-06-03,4
t.312,2011-05-31,2011-06-03,4
r.312,2011-06-04,2011-06-04,1
9.307,2011-06-05,2011-08-28,13
C.307,2011-06-05,2011-08-28,13
U.307,2011-06-05,2011-08-28,13
p.307,2011-06-06,2011-09-01,51
7.307,2011-06-06,2011-09-02,64
A.307,2011-06-06,2011-09-02,64
W.307,2011-06-06,2011-09-02,64
P.307,2011-06-10,2011-09-02,13
R.307,2011-06-11,2011-06-11,1
8.307,2011-06-11,2011-09-03,13
B.307,2011-06-11,2011-09-03,13
S.307,2011-06-11,2011-09-03,13
9.314,2011-06-19,2011-08-28,11
C.314,2011-06-19,2011-08-28,11
U.314,2011-06-19,2011-08-28,11
p.314,2011-06-20,2011-09-01,43
7.314,2011-06-20,2011-09-02,54
A.314,2011-06-20,2011-09-02,54
W.314,2011-06-20,2011-09-02,54
P.314,2011-06-24,2011-09-02,11
8.314,2011-06-25,2011-09-03,11
B.314,2011-06-25,2011-09-03,11
S.314,2011-06-25,2011-09-03,11
V.307,2011-07-03,2011-07-03,1
V.314,2011-07-03,2011-07-03,1
V.315,2011-07-03,2011-07-03,1
9.315,2011-07-03,2011-08-28,9
C.315,2011-07-03,2011-08-28,9
U.315,2011-07-03,2011-08-28,9
X.307,2011-07-04,2011-07-04,1
X.314,2011-07-04,2011-07-04,1
X.315,2011-07-04,2011-07-04,1
p.315,2011-07-05,2011-09-01,35
7.315,2011-07-05,2011-09-02,44
A.315,2011-07-05,2011-09-02,44
W.315,2011-07-05,2011-09-02,44
P.315,2011-07-08,2011-09-02,9
8.315,2011-07-09,2011-09-03,9
