"ogc_fid","rte","dir","rte_desc","dir_desc","type","stop_seq","stop_id","stop_name","jurisdic","zipcode","frequent"
160,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1700,7625,"SW 5th & Morrison","Portland","97204","True"
161,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1150,6789,"NE 15th & Halsey","Portland","97232","True"
162,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1200,6818,"NE 16th & Multnomah","Portland","97232","True"
163,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1250,4045,"NE Multnomah & 13th","Portland","97232","True"
164,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1400,4043,"NE Multnomah & Grand","Portland","97232","True"
165,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1750,7612,"SW 5th & Madison","Portland","97204","True"
166,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1800,7616,"SW 5th & Market","Portland","97201","True"
167,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",1850,10491,"SW 5th & Hall","Portland","97201","True"
168,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",100,1265,"NE Dekum & Durham","Portland","97211","True"
169,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",150,1264,"NE Dekum & Dean","Portland","97211","True"
170,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",200,6794,"NE 15th & Junior","Portland","97211","True"
171,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",250,6804,"NE 15th & Rosa Parks Way","Portland","97211","True"
172,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",300,6797,"NE 15th & Holman","Portland","97211","True"
173,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",350,6772,"NE 15th & Ainsworth","Portland","97211","True"
174,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",400,6793,"NE 15th & Jarrett","Portland","97211","True"
175,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",450,6796,"NE 15th & Killingsworth","Portland","97211","True"
176,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",500,6813,"NE 15th & Sumner","Portland","97211","True"
177,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",550,6774,"NE 15th & Alberta","Portland","97211","True"
178,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",600,6788,"NE 15th & Going","Portland","97211","True"
179,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",650,6805,"NE 15th & Prescott","Portland","97211","True"
180,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",700,6802,"NE 15th & Mason","Portland","97211","True"
181,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",750,6784,"NE 15th & Failing","Portland","97212","True"
182,8,0,"8-Jackson Park/NE 15th","To Marquam Hill","BUS",800,6786,"NE 15th & Fremont","Portland","97212","True"
