HWYNAME,HWYNUMB,ST_HWY_SFX,RDWY_ID,MLGE_TYP,OVLP_CD,MP,MP_DESC,MP_DISP,LRS_KEY,LRM_KEY,LAT,LONGTD,HRZ_COL_M,CRD_RF_DTM,EFFECTV_DT,GIS_PRC_DT
PACIFIC,001,00,1,0,0,190,MILEPOST 190.00,190.00,000100100S00,00100D00,44.0152727,-123.0242044,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,1,0,0,191.02,MILEPOST 191.00,191.00,000100100S00,00100D00,44.0294613,-123.029783,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,46,MILEPOST 46.00,46.00,000100200S00,00100I00,42.4111707,-123.1319795,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,47,MILEPOST 47.00,47.00,000100200S00,00100I00,42.4117196,-123.1490502,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,49,MILEPOST 49.00,49.00,000100200S00,00100I00,42.4336833,-123.173126,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,52.96,MILEPOST 53.00,53.00,000100200S00,00100I00,42.4274317,-123.2428403,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,53.96,MILEPOST 54.00,54.00,000100200S00,00100I00,42.4342885,-123.2594794,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,55,MILEPOST 55.00,55.00,000100200S00,00100I00,42.4376254,-123.2787017,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,50,MILEPOST 50.00,50.00,000100200S00,00100I00,42.4293023,-123.1905499,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,51,MILEPOST 51.00,51.00,000100200S00,00100I00,42.4220274,-123.2066967,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,52,MILEPOST 52.00,52.00,000100200S00,00100I00,42.4229307,-123.2261051,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,164,MILEPOST 164.00,164.00,000100200S00,00100I00,43.7276927,-123.2027643,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,165,MILEPOST 165.00,165.00,000100200S00,00100I00,43.7375329,-123.1884319,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,166,MILEPOST 166.00,166.00,000100200S00,00100I00,43.7488349,-123.1761976,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,167,MILEPOST 167.00,167.00,000100200S00,00100I00,43.7527851,-123.1573475,3,NAD 83,2014,07/14/2015
PACIFIC,001,00,2,0,0,167.97,MILEPOST 168.00,168.00,000100200S00,00100I00,43.7537545,-123.1387899,3,NAD 83,2014,07/14/2015
